swear_word
간나새끼
간나
개간나
쌍간나
종간나
좆간나
갈보
개년
개돼지
개새
개새끼
개쓰레기
개소리
개씨발
개씹할
개씹
개좆
개지랄
개족새
개차반
개초딩
거렁뱅이
걸레
경을 칠 놈
고자
광녀
광년이
국밥충
괴뢰
괴뢰군
그지깽깽이
근첩
금붕어
급식충
김치녀
까마귀
깜둥이
꺼벙이
꺼저
꺼져
꼬걸
꼬라보다
꼬붕
꼰대
꼴불견
꼴통
꼽등이
구더기
남창
ㄴㄷㅆ
냄비
너 같은 새끼는 뻑큐가 최고야
네 다음 XX
년놈
연놈
논다니
눈 깔어
느개비
느금마
너검엄빠
니거
니미
니미럴
니기미
니상년
나가 죽어
나가 뒤져
니미뽕
닥쳐
닭대가리
돌대가리나
새대가리
돌머리
덜떨어지다
돌았냐
돼지
돼지새끼
돼새
되놈
뒈지다
뒤지다
등신
딱갈이
딸딸이 부대
딸딸이대
땡중
땡추
떨거지
또라이
돌아이
똘마니
똘추
똥
똥개
띨빵
띨띨이
레기
렉카충
로리콘
루저
말하는 가축
망나니
맘충
매국노
머저리
먹사
멍청도
멍청이
메갈리아
모자라다
몸빵
무뇌
미제
미치광이
미친
미친개
미친년
미친놈
미친새끼
박쥐
박쥐짓
박쥐같은 새끼
바보
바보멍청이해삼멍게말미잘
버러지
변태
변태새끼
병신
병신새끼
병새
병신따까리
벌레
벌레새끼
보슬
보슬아치
보전깨
보지
보지년
보추
불알
부랄
불한당
븅딱
비틱
빌어먹을
비둘기가 되고 싶었던 까마귀
바카
빠가
빠돼쌍
빨갱이
빨통
뻐큐
삐꾸
빡대가리
빵꾸똥꾸
사이버 렉카
사이코
상폐녀
상폐놈
상폐년
삼엽충
삼성빠돌이
새끼
수전노
시발
시발년
시발놈
십장생
싸가지
싸가지가 없다
쌍놈
쌍년
쌍노무새끼
쌍욕
썅
썅년
썩을
쏘캨
쑤비
쓰레기
씨댕
씨발
씨발년
씨발놈 
씨팔
시발
씨방새
씨방놈
씨방년
씨방짭새
씨부랄
시부랄
시브랄
씨브랄
씹
씹년
씹덕
씹새끼
씹자식
씹쓰레기
씹지랄
씹창
씹치남
씹치녀
아가리
아다
애미 뒤진 년
애비 뒤진 년 
애미 터진 새끼
애비 터진 새끼
애비충
애새끼
애새
애자
양놈
양반
역겹다
어저미
언년이
얼간이
엿
에라이
앰흑
엠창
니미씨발
엄창
엠창인생
옌장
열폭
염병
옘병
오랑캐
오유충
왕따
왜놈
우라질
운지
워마드
육갑떨다
육갑하다
육변기
육시랄
응 니애미
응 니애비
이완용
인간 쓰레기
인조새
일베충
자지
잡놈
잡종
재수가 없다
잼민이
저능아
전두환
정박아
정신병자
젖
제기랄
제길
젠장
조센징
졸라
좆
좆같다
좆까
좆나
존나
좆도 아닌 새끼
좆망
좆물
좆밥
좆만이
좆만한 새끼
존만이
좆만한게
좆대가리
좆심
좆집
좆병신
쥐새끼
쥐새
지기미
지랄
짜져 있어
짱깨
짱꼴라
장궤
쩌리
쪼다
쪽발이
쪽바리
쫄보
찌랭이
찌질이
찐
찐따
찐찌버거
창녀
창놈
천치
촛불좀비
최순실
추남
추녀
코흘리개
토착왜구
통구이드립
튀기
트롤
틀딱충
파쇼
폐녀자
폐인
피싸개
한남
한남충
한녀
한녀충
허접
허접쓰레기
허섭스레기
호구흑우
호랑말코
호로자식
호로
후레자식
호모
홍어
화냥년
환향녀
후장
후빨
